sample,budget,resource,marginal_benefit_pp,optimal_allocation,allocation_share_pct,alpha,policy_cap
baseline_5,0.14,Copper,0.20131408792562575,0.001510014097903812,0.1510014097903812,0.65,0.4
baseline_5,0.16,Lithium,0.042043765132224464,1.9661776681136855e-05,0.0019661776681136854,0.65,0.4
baseline_5,0.16,Nickel,0.023581614193148057,3.768026802232397e-06,0.0003768026802232397,0.65,0.4
baseline_5,0.16,Cobalt,0.005582745986590835,6.142234289574517e-08,6.142234289574517e-06,0.65,0.4
baseline_5,0.16,Graphite,0.6688132398066777,0.053305857233503104,5.3305857233503104,0.65,0.4
baseline_5,0.16,Rare earths,0.8477545602245397,0.10494492114306624,10.494492114306624,0.65,0.4
baseline_5,0.16,Copper,0.20131408792562575,0.0017257303976043559,0.1725730397604356,0.65,0.4
baseline_5,0.18,Lithium,0.042043765132224464,2.2119498766278962e-05,0.002211949876627896,0.65,0.4
baseline_5,0.18,Nickel,0.023581614193148057,4.239030152511445e-06,0.0004239030152511445,0.65,0.4
baseline_5,0.18,Cobalt,0.005582745986590835,6.910013575771331e-08,6.910013575771332e-06,0.65,0.4
baseline_5,0.18,Graphite,0.6688132398066777,0.05996908938769098,5.996908938769098,0.65,0.4
baseline_5,0.18,Rare earths,0.8477545602245397,0.1180630362859495,11.80630362859495,0.65,0.4
baseline_5,0.18,Copper,0.20131408792562575,0.0019414466973049,0.19414466973049,0.65,0.4
baseline_5,0.2,Lithium,0.042043765132224464,2.457722085142108e-05,0.002457722085142108,0.65,0.4
baseline_5,0.2,Nickel,0.023581614193148057,4.710033502790496e-06,0.0004710033502790496,0.65,0.4
baseline_5,0.2,Cobalt,0.005582745986590835,7.677792861968146e-08,7.677792861968147e-06,0.65,0.4
baseline_5,0.2,Graphite,0.6688132398066777,0.06663232154187888,6.663232154187888,0.65,0.4
baseline_5,0.2,Rare earths,0.8477545602245397,0.1311811514288328,13.11811514288328,0.65,0.4
baseline_5,0.2,Copper,0.20131408792562575,0.002157162997005445,0.2157162997005445,0.65,0.4
baseline_5,0.22,Lithium,0.042043765132224464,2.7034942936563177e-05,0.002703494293656318,0.65,0.4
baseline_5,0.22,Nickel,0.023581614193148057,5.181036853069544e-06,0.0005181036853069544,0.65,0.4
baseline_5,0.22,Cobalt,0.005582745986590835,8.445572148164961e-08,8.44557214816496e-06,0.65,0.4
baseline_5,0.22,Graphite,0.6688132398066777,0.07329555369606676,7.329555369606676,0.65,0.4
baseline_5,0.22,Rare earths,0.8477545602245397,0.14429926657171607,14.429926657171608,0.65,0.4
baseline_5,0.22,Copper,0.20131408792562575,0.0023728792967059893,0.23728792967059892,0.65,0.4
baseline_5,0.24,Lithium,0.042043765132224464,2.949266502170528e-05,0.002949266502170528,0.65,0.4
baseline_5,0.24,Nickel,0.023581614193148057,5.6520402033485935e-06,0.0005652040203348594,0.65,0.4
baseline_5,0.24,Cobalt,0.005582745986590835,9.213351434361774e-08,9.213351434361775e-06,0.65,0.4
baseline_5,0.24,Graphite,0.6688132398066777,0.07995878585025466,7.995878585025467,0.65,0.4
baseline_5,0.24,Rare earths,0.8477545602245397,0.15741738171459937,15.741738171459938,0.65,0.4
baseline_5,0.24,Copper,0.20131408792562575,0.002588595596406534,0.2588595596406534,0.65,0.4
baseline_5,0.26,Lithium,0.042043765132224464,3.195038710684741e-05,0.003195038710684741,0.65,0.4
baseline_5,0.26,Nickel,0.023581614193148057,6.123043553627647e-06,0.0006123043553627646,0.65,0.4
baseline_5,0.26,Cobalt,0.005582745986590835,9.981130720558593e-08,9.981130720558592e-06,0.65,0.4
baseline_5,0.26,Graphite,0.6688132398066777,0.08662201800444257,8.662201800444256,0.65,0.4
baseline_5,0.26,Rare earths,0.8477545602245397,0.1705354968574827,17.05354968574827,0.65,0.4
baseline_5,0.26,Copper,0.20131408792562575,0.002804311896107079,0.2804311896107079,0.65,0.4
