seed,resource,marginal_benefit_pp
2084,Copper,0.2987992093903262
2085,Lithium,0.021113719871683756
2085,Nickel,0.021068999394975307
2085,Cobalt,0.006871409272408258
2085,Graphite,0.678391127153045
2085,Rare earths,0.8569655491132782
2085,Copper,0.21626523108801088
2086,Lithium,0.035046849550631975
2086,Nickel,0.023087421380957096
2086,Cobalt,0.012172938998755711
2086,Graphite,0.6877677413816876
2086,Rare earths,0.9331389179145271
2086,Copper,0.15643962177790804
2087,Lithium,0.0333610627910641
2087,Nickel,0.01557373277084384
2087,Cobalt,0.007490117065913182
2087,Graphite,0.5759173603202088
2087,Rare earths,0.8226618517793778
2087,Copper,0.15681349451286763
2088,Lithium,0.07445092202940806
2088,Nickel,0.005299237564161174
2088,Cobalt,0.004079790941363015
2088,Graphite,0.810592906765252
2088,Rare earths,0.7915447826831432
2088,Copper,0.10098715246919632
2089,Lithium,0.06566500189264168
2089,Nickel,0.026620598940615636
2089,Cobalt,0.001635451147501854
2089,Graphite,0.8156233061695701
2089,Rare earths,0.8430449412512502
2089,Copper,0.22262664552197364
2090,Lithium,0.04391521529596787
2090,Nickel,0.006415934967014536
2090,Cobalt,0.006980696584388824
2090,Graphite,0.6714971511191496
2090,Rare earths,0.9001024730612688
2090,Copper,0.20120063553335754
2091,Lithium,0.043779322637202966
2091,Nickel,0.040035722358499726
2091,Cobalt,0.004850122831676629
2091,Graphite,0.779150190529414
2091,Rare earths,0.6964858422710041
2091,Copper,0.21929749371099838
2092,Lithium,0.017534994222705436
2092,Nickel,0.024677118024816203
2092,Cobalt,0.0036745835457043796
2092,Graphite,0.44800192583653153
2092,Rare earths,0.732811159862405
2092,Copper,0.38657745965112333
2093,Lithium,0.04281394097927205
2093,Nickel,0.023048290071343125
2093,Cobalt,0.0031799064521393916
2093,Graphite,0.5179847653206648
2093,Rare earths,0.551906463724757
2093,Copper,0.06879720700818126
2094,Lithium,0.04509039349138888
2094,Nickel,0.01099208537330476
2094,Cobalt,0.0012549725520152322
2094,Graphite,0.7548166322015755
2094,Rare earths,0.8688308951940256
2094,Copper,0.12673810502311156
2095,Lithium,0.03102313250604638
2095,Nickel,0.031922484287459696
2095,Cobalt,0.007997363394256496
2095,Graphite,0.6721976982536306
2095,Rare earths,0.8594808322101057
2095,Copper,0.1512280235185095
2096,Lithium,0.04267958584913423
2096,Nickel,0.03453941669044269
2096,Cobalt,0.006241564366305852
2096,Graphite,0.26745226224937113
2096,Rare earths,0.3344721472911445
2096,Copper,0.18192587227718526
2097,Lithium,0.045907772484895304
2097,Nickel,0.012120044376761285
2097,Cobalt,0.0033431434387836134
2097,Graphite,0.6234987153725626
2097,Rare earths,1.063084586378893
2097,Copper,0.15893334763534206
2098,Lithium,0.042422901107727284
2098,Nickel,0.02286379266677585
2098,Cobalt,0.000426431357301027
2098,Graphite,0.6347157356584185
2098,Rare earths,0.8877190594996343
2098,Copper,0.22612658246916517
2099,Lithium,0.048393989029104745
2099,Nickel,0.009604739452170108
2099,Cobalt,0.001283965501578166
2099,Graphite,0.8473274959125785
2099,Rare earths,0.8996410456264279
2099,Copper,0.17715096571729738
2100,Lithium,0.054685083906624854
2100,Nickel,0.019407185676366012
2100,Cobalt,0.005848409615047956
2100,Graphite,0.8013986132400728
2100,Rare earths,0.8484319192481653
2100,Copper,0.2504277463630835
2101,Lithium,0.022295061838246255
2101,Nickel,0.02581188698497705
2101,Cobalt,0.00538928840173547
2101,Graphite,0.599856541151536
2101,Rare earths,0.955170858605058
2101,Copper,0.1770697200515059
2102,Lithium,0.0415659735965388
2102,Nickel,0.02660107675002621
2102,Cobalt,0.005068393580353714
2102,Graphite,0.716315242530488
2102,Rare earths,0.7407739787995284
2102,Copper,0.20408694863609522
2103,Lithium,0.03579986130363899
2103,Nickel,0.020919976161316356
2103,Cobalt,0.004604870145897166
2103,Graphite,0.707571702661526
2103,Rare earths,0.9352149501419129
2103,Copper,0.13506719167267534
2104,Lithium,0.03117831600539489
2104,Nickel,0.030367777482783964
2104,Cobalt,0.003764366797865293
2104,Graphite,0.34002646040313067
2104,Rare earths,0.32346109256268196
2104,Copper,0.1899756977787952
2105,Lithium,0.05510879997972573
2105,Nickel,0.018234002658500614
2105,Cobalt,0.005282813386019214
2105,Graphite,0.7212063744678652
2105,Rare earths,0.8491372797980752
2105,Copper,0.19152911894187064
2106,Lithium,0.04439338130639747
2106,Nickel,0.008171420424291753
2106,Cobalt,0.007408989996836368
2106,Graphite,0.7843638804978763
2106,Rare earths,0.9804131803832679
2106,Copper,0.25637555985003146
2107,Lithium,0.021170611959965058
2107,Nickel,0.02069079416147268
2107,Cobalt,0.0037313337326292384
2107,Graphite,0.6642741085803356
2107,Rare earths,0.854693351984392
2107,Copper,0.22129477863427205
2108,Lithium,0.03738084134474562
2108,Nickel,0.014366740921641252
2108,Cobalt,0.0040463512334874
2108,Graphite,0.6706452583071716
2108,Rare earths,0.9077406874184888
2108,Copper,0.1928987958676096
2109,Lithium,0.026041754474945833
2109,Nickel,0.007262764781970077
2109,Cobalt,0.0017560559088032335
2109,Graphite,0.8124261795077938
2109,Rare earths,0.8413058358316601
2109,Copper,0.20241999454149173
2110,Lithium,0.016281942223543844
2110,Nickel,0.028998676967668224
2110,Cobalt,0.003618291897525161
2110,Graphite,0.5723607544282387
2110,Rare earths,0.8462579929438547
2110,Copper,0.18070723477454198
2111,Lithium,0.009021773519688026
2111,Nickel,0.17131352645628972
2111,Cobalt,0.014474358926744202
2111,Graphite,0.12855937794162653
2111,Rare earths,0.09962952466773967
2111,Copper,1.0704176217280734
2112,Lithium,0.06267609482151393
2112,Nickel,0.013891147171577245
2112,Cobalt,0.004844330739720348
2112,Graphite,0.8278932996386121
2112,Rare earths,0.7451030682997644
2112,Copper,0.20764516050704884
2113,Lithium,0.03777370780157696
2113,Nickel,0.00821205869020769
2113,Cobalt,0.004139736955056428
2113,Graphite,0.7131242310837447
2113,Rare earths,0.7487239284257834
2113,Copper,0.1950131735360836
2114,Lithium,0.06622849992167978
2114,Nickel,0.019149956821488345
2114,Cobalt,0.005256331202474485
2114,Graphite,0.7133088114438868
2114,Rare earths,0.7592011344681868
2114,Copper,0.1728278275754782
2115,Lithium,0.048165031434946215
