seed,resource_scaled,epsilon,mean_chi,mean_worstcase_loss_pct
2056,Rare earths,-0.2,0.04225191886196006,9.024874534441873
2057,Rare earths,-0.2,0.041184615390364866,8.72050272597142
2058,Rare earths,-0.2,0.040655923080336887,8.309315688570502
2059,Rare earths,-0.2,0.04525698098255411,8.072087862608926
2060,Rare earths,-0.2,0.039001390851464014,8.840104695602044
2061,Rare earths,-0.2,0.051777782167496254,8.599701873705648
2062,Rare earths,-0.2,0.03867082012654376,6.376452675621888
2063,Rare earths,-0.2,0.04579540452356782,8.984518079272878
2064,Rare earths,-0.2,0.04233701946179676,8.309921034004777
2065,Rare earths,-0.2,0.0442948455661723,8.798250762907106
2066,Rare earths,-0.2,0.038851561951562766,7.445917198066217
2067,Rare earths,-0.2,0.04023584333548341,7.521058688002152
2068,Rare earths,-0.2,0.039953686462143964,7.836604821025629
2069,Rare earths,-0.2,0.040827063067812384,8.521783082442957
2070,Rare earths,-0.2,0.04520540527456159,8.568612866442177
2071,Rare earths,-0.2,0.04002611941984624,7.732489918906215
2072,Rare earths,-0.2,0.047384287424332594,8.669245628358274
2073,Rare earths,-0.2,0.04345561932332158,8.383314765380145
2074,Rare earths,-0.2,0.045646583115860735,8.710922324540311
2075,Rare earths,-0.2,0.0409965150307378,7.1843186077293435
2076,Rare earths,-0.2,0.0425614237828708,8.23671903297018
2027,Copper,-0.2,0.05289357375822186,10.172604406118955
2028,Copper,-0.2,0.04104005347829722,8.733960364596502
2029,Copper,-0.2,0.04569131231089687,8.914996405723908
2030,Copper,-0.2,0.04882525589625846,9.155186675382833
2031,Copper,-0.2,0.04818095636694915,9.537849892335059
2032,Copper,-0.2,0.043540413373227435,8.546423107393736
2033,Copper,-0.2,0.04216145348643664,8.55998862090922
2034,Copper,-0.2,0.041130374914079434,8.440586313963866
2035,Copper,-0.2,0.055016992977689694,10.096574084162144
2036,Copper,-0.2,0.04172407105203553,8.87632812175659
2037,Copper,-0.2,0.04727034010698854,10.339750328557646
2038,Copper,-0.2,0.045050464825873236,9.681069044454699
2039,Copper,-0.2,0.04487246082327171,9.973211101747488
2040,Copper,-0.2,0.04877855480059178,9.702817066000962
2041,Copper,-0.2,0.04287219740755109,9.681201885116957
2042,Copper,-0.2,0.05658040154072921,10.54873471881729
2043,Copper,-0.2,0.040189667205653284,7.2204931981493035
2044,Copper,-0.2,0.05022878701852925,10.359844280797521
2045,Copper,-0.2,0.04750247384408858,10.065988847769313
2046,Copper,-0.2,0.04877014130732997,9.379600746085377
2047,Copper,-0.2,0.0421652982206138,8.938909420839733
2048,Copper,-0.2,0.042798294336890114,9.000018948915859
2049,Copper,-0.2,0.04245230007721105,9.025962604153468
2050,Copper,-0.2,0.04423779866856199,9.881612404864416
2051,Copper,-0.2,0.049477461633702965,9.431626294252219
2052,Copper,-0.2,0.04308174397958882,8.186979720269965
2053,Copper,-0.2,0.050727941558785426,9.849512569691353
2054,Copper,-0.2,0.0472180503636739,9.39861663845339
2055,Copper,-0.2,0.05065763993337532,10.370453042782362
2056,Copper,-0.2,0.04325253378351686,8.545842416525613
2057,Copper,-0.2,0.04652875690891119,10.00865463148917
2058,Copper,-0.2,0.04934165878415305,9.538482092419443
2059,Copper,-0.2,0.04619103556374525,9.198632322164169
2060,Copper,-0.2,0.049648982386779436,8.43139209752041
2061,Copper,-0.2,0.04719029029013197,8.392596845455689
2062,Copper,-0.2,0.0441328456141588,8.751533796990984
2063,Copper,-0.2,0.05121475180609778,9.318697171888385
2064,Copper,-0.2,0.0512782365402815,9.62690424951534
2065,Copper,-0.2,0.04158528370163008,8.747044752139931
2066,Copper,-0.2,0.04282523642577818,8.247429254641613
2067,Copper,-0.2,0.04399350619060026,8.751660206039812
2068,Copper,-0.2,0.04905854950765352,9.917375869353858
2069,Copper,-0.2,0.039677929520452446,8.219159342296187
2070,Copper,-0.2,0.043740092419518685,8.63560577709726
2071,Copper,-0.2,0.046556807772580824,9.983986028868587
2072,Copper,-0.2,0.04754976459482636,9.196403279889534
2073,Copper,-0.2,0.05236214231908679,9.58195072075831
2074,Copper,-0.2,0.04111330866408454,8.849499500404836
2075,Copper,-0.2,0.0462672240957553,8.989191020141567
2076,Copper,-0.2,0.04613852872713576,9.170637052990298
2027,Lithium,-0.1,0.0425003446351677,7.774191137381118
2028,Lithium,-0.1,0.04017364382959578,7.906698760651226
2029,Lithium,-0.1,0.03889903601162309,8.109241005496262
2030,Lithium,-0.1,0.05220641399720296,9.556433428601325
2031,Lithium,-0.1,0.03990043692095603,8.28406385760758
2032,Lithium,-0.1,0.04441910386148815,9.684036580079908
2033,Lithium,-0.1,0.042582215273012244,8.882365972724461
2034,Lithium,-0.1,0.04249900900757651,8.56654524466269
2035,Lithium,-0.1,0.04661944218324354,8.618613472949518
2036,Lithium,-0.1,0.040428865100245605,9.018805095485543
2037,Lithium,-0.1,0.05376543847768065,9.85296956489638
2038,Lithium,-0.1,0.03925641749091132,6.877648117926361
2039,Lithium,-0.1,0.047634440445464145,9.462993012974685
2040,Lithium,-0.1,0.0443530934571985,9.619764369110916
2041,Lithium,-0.1,0.04618942965153103,8.89993172672435
2042,Lithium,-0.1,0.04001982463752115,8.684105026371393
2043,Lithium,-0.1,0.04132233284182328,8.243556340853715
2044,Lithium,-0.1,0.04094102015862068,8.500733432698947
2045,Lithium,-0.1,0.0421562709795832,8.837495605329426
2046,Lithium,-0.1,0.04684891264513979,9.070616318511938
2047,Lithium,-0.1,0.04121377114391725,8.161507978590327
2048,Lithium,-0.1,0.048764213670355806,9.20255678806002
2049,Lithium,-0.1,0.044873441262770715,9.064760643134075
2050,Lithium,-0.1,0.047726877351971904,9.808921242958409
2051,Lithium,-0.1,0.04178408843840544,7.5247982281158245
2052,Lithium,-0.1,0.043999899182667626,8.446427048824706
2053,Lithium,-0.1,0.04625321171729823,9.436189225415381
2054,Lithium,-0.1,0.04453976466748414,8.866221231404282
2055,Lithium,-0.1,0.048647688543257336,8.245614097473632
