seed,resource_scaled,epsilon,mean_chi,mean_worstcase_loss_pct
2062,Graphite,-0.2,0.044055049132584095,7.956025269946821
2063,Graphite,-0.2,0.040341350192177244,7.477174249688689
2064,Graphite,-0.2,0.04499759358245755,7.22965788059508
2065,Graphite,-0.2,0.04827757759737298,8.754534864968868
2066,Graphite,-0.2,0.039871946283594265,7.251180695677549
2067,Graphite,-0.2,0.041846748024118884,7.828600243660352
2068,Graphite,-0.2,0.046695939556978205,7.869480208315027
2069,Graphite,-0.2,0.043007229781442516,8.363384992362993
2070,Graphite,-0.2,0.04192723179699647,7.1198772773856405
2071,Graphite,-0.2,0.03898790156869507,7.206116711202645
2072,Graphite,-0.2,0.0393107617392353,8.24432351162924
2073,Graphite,-0.2,0.04975287089809624,8.663107864629607
2074,Graphite,-0.2,0.04063487006860298,7.702947982474024
2075,Graphite,-0.2,0.04691513844352406,8.653806766605502
2076,Graphite,-0.2,0.04244584146807777,8.024863240119787
2027,Rare earths,-0.2,0.04599443250826862,7.976158581805393
2028,Rare earths,-0.2,0.046382274498822595,8.191066875940232
2029,Rare earths,-0.2,0.04367174633105389,8.640701865397592
2030,Rare earths,-0.2,0.04914398705659585,8.10912366330167
2031,Rare earths,-0.2,0.047186983422078874,8.657810134785144
2032,Rare earths,-0.2,0.04036491257010068,7.1216742473464345
2033,Rare earths,-0.2,0.035544292594158464,7.229598073342179
2034,Rare earths,-0.2,0.04085680624912723,6.760874585541654
2035,Rare earths,-0.2,0.04852597551872802,9.23163304405361
2036,Rare earths,-0.2,0.04201338659464037,8.243284607608576
2037,Rare earths,-0.2,0.04611624382986777,8.959581176344699
2038,Rare earths,-0.2,0.044568250335912885,8.277957152756619
2039,Rare earths,-0.2,0.042168989276167204,8.35301570297708
2040,Rare earths,-0.2,0.043098141099509386,8.187360770908967
2041,Rare earths,-0.2,0.04182516493007847,8.327019756948696
2042,Rare earths,-0.2,0.041774082015273994,8.164834672300035
2043,Rare earths,-0.2,0.04327533202918048,7.724071593890074
2044,Rare earths,-0.2,0.04019561206912114,7.624444778804768
2045,Rare earths,-0.2,0.04529440741322601,7.522685528888967
2046,Rare earths,-0.2,0.04784755207259402,8.496301955381046
2047,Rare earths,-0.2,0.03952734630555614,7.281086018466137
2048,Rare earths,-0.2,0.04224259758625107,8.0197116755397
2049,Rare earths,-0.2,0.04632910295719765,8.197151060910013
2050,Rare earths,-0.2,0.041931693952540386,8.175143951974066
2051,Rare earths,-0.2,0.04183078202995348,6.990907819196467
2052,Rare earths,-0.2,0.038660734520824115,7.059852718137753
2053,Rare earths,-0.2,0.0386979715986248,8.054448057034612
2054,Rare earths,-0.2,0.04952060636971639,8.791607750008168
2055,Rare earths,-0.2,0.0399888533591051,8.1279444761431
2056,Rare earths,-0.2,0.045497395199705186,8.731711936933642
2057,Rare earths,-0.2,0.042094166420778775,8.301477669453966
2058,Rare earths,-0.2,0.04139614792364645,8.349049660849252
2059,Rare earths,-0.2,0.04403808300740982,7.982966252764033
2060,Rare earths,-0.2,0.039332053416086143,8.686730293685962
2061,Rare earths,-0.2,0.050302839801727305,8.635612179268222
2062,Rare earths,-0.2,0.039523357473624676,6.102357632728457
2063,Rare earths,-0.2,0.04805276451025069,8.653749988643522
2064,Rare earths,-0.2,0.04346804979406867,8.080350466789065
2065,Rare earths,-0.2,0.04398427382474299,8.317999552581462
2066,Rare earths,-0.2,0.04008694858641029,7.442061247842047
2067,Rare earths,-0.2,0.04158321659393116,7.703455975195844
2068,Rare earths,-0.2,0.03986604072576032,7.4587353867764286
2069,Rare earths,-0.2,0.040590149661173844,8.191025641128157
2070,Rare earths,-0.2,0.04397235036457507,8.235149253562476
2071,Rare earths,-0.2,0.04193728223169775,7.388589143681066
2072,Rare earths,-0.2,0.047283325740001964,8.541588449839656
2073,Rare earths,-0.2,0.044552997848503424,8.0674062603264
2074,Rare earths,-0.2,0.04435728388997759,8.402400258920599
2075,Rare earths,-0.2,0.04232562267630164,6.864949446544719
2076,Rare earths,-0.2,0.04460940645749753,8.142852049372726
2027,Copper,-0.2,0.052418923628903366,9.652810796146765
2028,Copper,-0.2,0.04330826083976001,8.477497680636922
2029,Copper,-0.2,0.04470946642877377,8.74808471689946
2030,Copper,-0.2,0.05006413833630867,8.890191187730172
2031,Copper,-0.2,0.04710562114939406,9.01397472428716
2032,Copper,-0.2,0.04386315518822139,8.213914937127278
2033,Copper,-0.2,0.04209087673580744,8.617215128765812
2034,Copper,-0.2,0.042879285877768264,8.343838090994774
2035,Copper,-0.2,0.05395122163459666,10.115731621012467
2036,Copper,-0.2,0.04377449971652379,8.768769022457786
2037,Copper,-0.2,0.05158803473829596,10.357246831725298
2038,Copper,-0.2,0.046287181782233816,9.090789928466803
2039,Copper,-0.2,0.04599925104295345,9.614675383223966
2040,Copper,-0.2,0.04783089688810807,9.228688908773082
2041,Copper,-0.2,0.043464754086134254,9.331648797085947
2042,Copper,-0.2,0.05519694202658604,10.237658301504892
