seed,economy,K0,HHI,chi,upstream_alignment,upstream_concentration,supplier_entropy,macro_sensitivity,gamma,worstcase_loss_pct
2064,Denmark,1.0,0.26993873114053935,0.05289190452894322,0.826079139909827,0.20187551072558996,2.0202745933335358,0.960703406064444,0.22998240047652171,8.128930399142781
2064,Finland,1.0,0.23391831145621644,0.04422094077685082,0.8177601865977173,0.20153438742227192,2.026639096773546,0.8554316787212477,0.2102877570778927,7.015710613182131
2065,France,1.0,0.2125521576447058,0.03617156106641601,0.8978594824565498,0.176707476630302,2.0968448999816456,1.0022258988978316,0.1901882253621817,8.365102096934226
2065,Germany,1.0,0.22798241445411666,0.03803667959101831,0.895193787402939,0.17537749158664945,2.106500615977778,0.9468972440377272,0.19502994536998236,7.908111435209667
2065,Italy,1.0,0.24424751599672798,0.04153252481608614,0.9135698762175657,0.1765968480363282,2.084034742043328,0.9982978797602725,0.20379530126105982,8.396132896112078
2065,Netherlands,1.0,0.24143313488439544,0.04276249209469325,0.8754947112532465,0.17938335009340053,2.0932411814812566,1.357416120019043,0.20679093813485458,11.290029411036887
2065,Spain,1.0,0.28706480280910246,0.04913556131723276,0.9184858600792567,0.17690911746593377,2.0747901608865686,1.1977165786234167,0.2216654265266299,10.092972500290324
2065,Sweden,1.0,0.2462002455642294,0.042534478239656365,0.8947041232466514,0.17950667272127652,2.0956990200820442,1.0571207367965754,0.20623888634216478,9.1829912866646
2065,Denmark,1.0,0.2585187495259367,0.04424976708662079,0.8831145936717368,0.17725824684381386,2.1101673236186858,0.8416907727733358,0.21035628606395576,7.181046237403722
2065,Finland,1.0,0.23904319437682603,0.042661384409694476,0.8870344953522706,0.18069749938608134,2.085730283220365,0.9102320579623681,0.20654632509365659,7.753300351645513
2066,France,1.0,0.24209176908273877,0.04191837167495244,0.9060665027123553,0.18495815874711008,2.040457961575023,0.931457298212448,0.20473976573922428,7.423549509093291
2066,Germany,1.0,0.24064950120699594,0.042830162902202054,0.8897540341188258,0.1870253294266671,2.049056242020197,0.9637957517762625,0.2069544947620178,7.932565037604635
2066,Italy,1.0,0.24343009818439065,0.0435807282706786,0.9142676008090659,0.18625551483531058,2.0259974139621053,1.0089301131760176,0.2087599776553892,7.965437121708969
2066,Netherlands,1.0,0.24468639938559214,0.047832488799233,0.8852884617484293,0.19337191141405913,2.0161124291951604,1.0593228477869168,0.21870639862434982,8.817607222959111
2066,Spain,1.0,0.2645534993486579,0.047904584523165136,0.9075297478401427,0.1876741905014168,2.0258925489597095,0.9925383610690163,0.21887115964229992,7.954420120102869
2066,Sweden,1.0,0.215799899525616,0.03784313058802137,0.8854923323709368,0.18621160723587254,2.0535140352932766,0.8856070356477448,0.1945331092334191,7.159087996777932
2066,Denmark,1.0,0.26809937420262386,0.04987031155700314,0.8864967373361975,0.18988346650168042,2.0395126652602027,0.9477913835940296,0.22331661728810764,8.008225257522898
2066,Finland,1.0,0.23871625944859964,0.04658420231152695,0.9006488204413059,0.19378470110379165,2.00491128223413,1.0859934248193954,0.21583373765824226,9.09614943753079
2067,France,1.0,0.22787164381933592,0.03927948187228515,0.8611880190038448,0.18071329017410726,2.0772797736188737,0.8428841063731254,0.1981905191281489,6.140499886923446
2067,Germany,1.0,0.27852871437430926,0.048524488656780815,0.8410819231362625,0.18034705340164314,2.083406541697224,0.876404586146042,0.22028274707017073,6.458206146527315
2067,Italy,1.0,0.24115481655513438,0.039131052705320794,0.8550690409883803,0.17460881725027605,2.105716435444616,1.0849538169626785,0.19781570388955674,7.218018893485961
2067,Netherlands,1.0,0.27617287457786205,0.0492060103390584,0.8218095340999182,0.18123605468812065,2.0880870513414695,1.2122788278870915,0.2218242780649999,8.704727430820505
2067,Spain,1.0,0.25010729350471933,0.04125748039012752,0.8597202523326186,0.17694674192272938,2.0897353373239542,1.042222157537785,0.2031193747285756,7.150270324228712
2067,Sweden,1.0,0.2545211759755649,0.042679109578522514,0.8224848273553625,0.1790994177903958,2.106994431225408,1.0019392937382106,0.20658922909610392,7.36343792897676
2067,Denmark,1.0,0.27805539583237693,0.0474257545535698,0.8130838265431305,0.1773171407380798,2.1128335621000485,0.972068517592851,0.21777454982979486,6.907601114672651
2067,Finland,1.0,0.23657737610134832,0.03745987720770341,0.8187639174825886,0.17669746668983213,2.123995108618143,1.1126277521608334,0.19354554298072435,7.990081774879003
2068,France,1.0,0.21701672605830338,0.03753071460211717,0.8762126775035782,0.1853355595121562,2.075316711314719,0.9420458374772778,0.19372845583991313,7.810741152864802
2068,Germany,1.0,0.23337299673114315,0.04177559455117559,0.8752641262806096,0.18758502767722723,2.0679650109062777,0.9197530048500302,0.20439078881196088,7.783285262868391
2068,Italy,1.0,0.21801874275791447,0.03712684971382561,0.8748295143946985,0.18175357403779024,2.0865249598543705,1.218855594566176,0.19268328862105716,9.714285493249363
2068,Netherlands,1.0,0.26433426356382766,0.05154122836277494,0.861948579906588,0.19201824135434636,2.052574940234074,1.117091911233873,0.22702693312198652,9.542861050623353
2068,Spain,1.0,0.24567134501659557,0.044161785322335084,0.8849469261966719,0.18633166104610976,2.064099956366796,1.143994573318461,0.2101470564208195,9.605638574437684
2068,Sweden,1.0,0.23676232420915597,0.041106142241602375,0.8749410792242072,0.18654689489748208,2.0697983331965504,0.9761889839964446,0.20274649748294638,8.193957372320595
2068,Denmark,1.0,0.3042821598983846,0.06147776988849049,0.8935609024276971,0.1968410597257188,2.0141639691168223,0.9364527654344471,0.24794711107107195,8.475654682221483
2068,Finland,1.0,0.2612962464847344,0.048669210092069065,0.869953698354499,0.1903620885126846,2.0509665968598596,0.9323117882805675,0.220610992681845,7.887917026254741
2069,France,1.0,0.21242454463671692,0.035357053043242125,0.8837141860757678,0.18070549847192577,2.084541750415632,0.9368273571698174,0.18803471233589325,6.9528782500040185
2069,Germany,1.0,0.25601190761961834,0.04603596091673677,0.8800493980565469,0.18595164688619903,2.0628446212611955,1.0294955076981827,0.21455992383652817,8.139570726991826
2069,Italy,1.0,0.24329106712475693,0.04094844473762144,0.89437558445225,0.17863206723727765,2.084191368020556,1.1902900120381925,0.2023572206214086,8.576224962270654
2069,Netherlands,1.0,0.26310700969531997,0.0519613643127014,0.8910474439083593,0.1929728972299141,2.0211231365296114,1.2094309750021832,0.22795035492997462,9.888972342101804
2069,Spain,1.0,0.2463690172728755,0.045253358762566205,0.905981145645433,0.18779978932215524,2.0358829407750854,1.1243695871501345,0.212728368495051,8.814571618386598
