seed,resource,marginal_benefit_pp
2074,Graphite,0.6389330735133418
2074,Rare earths,0.7543539849111447
2074,Copper,0.2589597834878852
2075,Lithium,0.04970272417587296
2075,Nickel,0.012718800566026367
2075,Cobalt,0.00792816432727328
2075,Graphite,0.5641366497334648
2075,Rare earths,0.8799821219762816
2075,Copper,0.1015473940957543
2076,Lithium,0.04828336260343491
2076,Nickel,0.040631007908365824
2076,Cobalt,0.0014324727708778795
2076,Graphite,0.6437505964507215
2076,Rare earths,0.7699371864898303
2076,Copper,0.10893499011279673
2077,Lithium,0.024665931676452146
2077,Nickel,0.04218390088267476
2077,Cobalt,0.00981236299818633
2077,Graphite,0.7482902873560695
2077,Rare earths,0.8376763201700985
2077,Copper,0.20138515221317732
2078,Lithium,0.04908410428726562
2078,Nickel,0.017586575812556404
2078,Cobalt,0.0032388598445169947
2078,Graphite,0.5897323064006503
2078,Rare earths,1.0716438086575604
2078,Copper,0.09314785164393236
2079,Lithium,0.04410522533521899
2079,Nickel,0.015085456834885491
2079,Cobalt,0.01826079558110738
2079,Graphite,0.5312024656144096
2079,Rare earths,0.672493195489106
2079,Copper,0.19059907105229357
2080,Lithium,0.0347952781063352
2080,Nickel,0.019401875754868847
2080,Cobalt,0.005721022549655785
2080,Graphite,0.5382923061002982
2080,Rare earths,0.6684741544931674
2080,Copper,0.17237540994046618
2081,Lithium,0.05758812134243563
2081,Nickel,0.025742795104816807
2081,Cobalt,0.007155894784645511
2081,Graphite,0.6547116039247332
2081,Rare earths,1.0385391155215
2081,Copper,0.1743617372549373
2082,Lithium,0.037066327298106216
2082,Nickel,0.0228733220642372
2082,Cobalt,0.0063124516357682126
2082,Graphite,0.61769820772823
2082,Rare earths,0.8822144706240627
2082,Copper,0.2661848660369568
2083,Lithium,0.035134628610080654
2083,Nickel,0.015587166973870303
2083,Cobalt,0.004019623849119469
2083,Graphite,0.6414823998021628
2083,Rare earths,0.8747306414816416
2083,Copper,0.10619294982619198
2084,Lithium,0.029127438283078178
2084,Nickel,0.02707306842415136
2084,Cobalt,0.007570810158355812
2084,Graphite,0.5920896356074152
2084,Rare earths,0.9972958322532932
2084,Copper,0.29059075995637507
2085,Lithium,0.023003774975766333
2085,Nickel,0.021052660039506677
2085,Cobalt,0.00736311974958781
2085,Graphite,0.6600309131003765
2085,Rare earths,0.8515830688181563
2085,Copper,0.20578420671587594
2086,Lithium,0.03632676034806437
2086,Nickel,0.02218525926950754
2086,Cobalt,0.012589113791634077
2086,Graphite,0.6295731293164541
2086,Rare earths,0.9351058263605081
2086,Copper,0.1487763145320269
2087,Lithium,0.036934756477358555
2087,Nickel,0.015588544704245422
2087,Cobalt,0.008141583805419295
2087,Graphite,0.5551011162208077
2087,Rare earths,0.823618865899129
2087,Copper,0.15066729448009308
2088,Lithium,0.07576995442172674
2088,Nickel,0.005264693709752244
2088,Cobalt,0.004220952533875
2088,Graphite,0.7404143061942206
2088,Rare earths,0.7942392209842515
2088,Copper,0.09549934556033435
2089,Lithium,0.07604958622754054
2089,Nickel,0.02444980141441455
2089,Cobalt,0.0017549241025385243
2089,Graphite,0.7981890094619146
2089,Rare earths,0.8227304365243988
2089,Copper,0.21158984342546283
2090,Lithium,0.04554681714160935
2090,Nickel,0.005764666202200175
2090,Cobalt,0.006878977617851945
2090,Graphite,0.6164441310575839
