seed,economy,resource,resource_channel_loss_pct,contribution_share
2073,Spain,Copper,4.240427441579965,0.15433640586881095
2073,Sweden,Lithium,3.3216317363778294,0.13244300411516394
2073,Sweden,Nickel,2.217913739940594,0.08843459537340402
2073,Sweden,Cobalt,2.424325373686642,0.0966648204637558
2073,Sweden,Graphite,6.8571157094958215,0.27341291154728026
2073,Sweden,Rare earths,6.799480819686372,0.2711148428406831
2073,Sweden,Copper,3.4592396130337226,0.1379298256597129
2073,Denmark,Lithium,3.190554179871325,0.132153647787855
2073,Denmark,Nickel,1.9374143638462071,0.08024824561016818
2073,Denmark,Cobalt,2.1928750873894836,0.09082950033254694
2073,Denmark,Graphite,6.781027470054994,0.28087205714010416
2073,Denmark,Rare earths,6.751683625646988,0.27965662688566684
2073,Denmark,Copper,3.289208135046255,0.13623992224365888
2073,Finland,Lithium,2.9443841720549053,0.1310676730728562
2073,Finland,Nickel,1.9216045163296527,0.08553918843608099
2073,Finland,Cobalt,2.109559548680079,0.09390590530893762
2073,Finland,Graphite,6.216165865268638,0.2767092701857131
2073,Finland,Rare earths,6.1689878051258,0.2746091642886292
2073,Finland,Copper,3.1039081907015857,0.13816879870778281
2074,France,Lithium,2.8366664291752888,0.12473027975500205
2074,France,Nickel,2.211736301945126,0.09725164892444324
2074,France,Cobalt,1.8621331139126835,0.08187934324971334
2074,France,Graphite,6.5850715660571035,0.28955037158874103
2074,France,Rare earths,5.518747749088713,0.24266334016624233
2074,France,Copper,3.72804896772917,0.16392501631585804
2074,Germany,Lithium,3.1671031610805547,0.12797332224988045
2074,Germany,Nickel,2.476692883309764,0.10007587386627738
2074,Germany,Cobalt,2.1349677192325305,0.08626776521962735
2074,Germany,Graphite,7.0621482553639945,0.2853606366746133
2074,Germany,Rare earths,5.916765072146222,0.2390790715501252
2074,Germany,Copper,3.990474362624424,0.16124333043947628
2074,Italy,Lithium,2.9197269416708322,0.12378107426497245
2074,Italy,Nickel,2.3180783612449227,0.09827433712725324
2074,Italy,Cobalt,1.8608424007275117,0.07888993594313648
2074,Italy,Graphite,6.797797877136635,0.28819089616188676
2074,Italy,Rare earths,5.690975698734527,0.24126745400448116
2074,Italy,Copper,4.000408758385446,0.16959630249826999
2074,Netherlands,Lithium,3.574008728232262,0.12276776612375512
2074,Netherlands,Nickel,2.646190219967124,0.09089705335011147
2074,Netherlands,Cobalt,2.145849760002,0.07371027927034247
2074,Netherlands,Graphite,8.618105409890731,0.29603328638613685
2074,Netherlands,Rare earths,7.23725466658478,0.2486008445549591
2074,Netherlands,Copper,4.890538439560366,0.16799077031469506
2074,Spain,Lithium,3.376887971621681,0.1227367410246928
2074,Spain,Nickel,2.640108481492895,0.09595767277244785
2074,Spain,Cobalt,2.079026241967992,0.07556451608355376
2074,Spain,Graphite,8.002300467633201,0.2908524915104022
2074,Spain,Rare earths,6.714545312386103,0.2440476012324243
2074,Spain,Copper,4.700392374331156,0.1708409773764791
2074,Sweden,Lithium,3.0967210298657193,0.12832470138030377
2074,Sweden,Nickel,2.3115040788747905,0.09578617763764916
2074,Sweden,Cobalt,2.060877703624587,0.08540049728354736
2074,Sweden,Graphite,6.9843398870254285,0.28942333574682594
2074,Sweden,Rare earths,5.840429655710806,0.2420209583858635
2074,Sweden,Copper,3.838044544422636,0.15904432956581024
2074,Denmark,Lithium,3.1584333643965556,0.12687971777103121
2074,Denmark,Nickel,2.0986632656798005,0.08430692439090237
2074,Denmark,Cobalt,1.8065236532492739,0.07257117210536838
2074,Denmark,Graphite,7.468201874279204,0.3000105548361542
2074,Denmark,Rare earths,6.256749287212292,0.2513444141878449
2074,Denmark,Copper,4.104558993069767,0.164887216708699
